AGS,Kreis,Kreis_WP,KreisSitz,KreisSitz_WP,Einwohner,Fläche,Karte
09177,Erding,/wiki/Landkreis_Erding,Erding,/wiki/Erding,138182,870.72,//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Bavaria_ED.svg/60px-Bavaria_ED.svg.png
09572,Erlangen-Höchstadt,/wiki/Landkreis_Erlangen-H%C3%B6chstadt,Erlangen,/wiki/Erlangen,137262,564.66,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Bavaria_ERH.svg/60px-Bavaria_ERH.svg.png
14521,Erzgebirgskreis,/wiki/Erzgebirgskreis,Annaberg-Buchholz,/wiki/Annaberg-Buchholz,334948,1827.91,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Saxony_ERZ.svg/75px-Saxony_ERZ.svg.png
08116,Esslingen,/wiki/Landkreis_Esslingen,Esslingen am Neckar,/wiki/Esslingen_am_Neckar,535024,641.46,//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Baden-W%C3%BCrttemberg_ES.svg/55px-Baden-W%C3%BCrttemberg_ES.svg.png
05366,Euskirchen,/wiki/Kreis_Euskirchen,Euskirchen,/wiki/Euskirchen,193656,1248.73,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/North_rhine_w_EU.svg/60px-North_rhine_w_EU.svg.png
09474,Forchheim,/wiki/Landkreis_Forchheim,Forchheim,/wiki/Forchheim,116203,642.79,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Bavaria_FO.svg/60px-Bavaria_FO.svg.png
09178,Freising,/wiki/Landkreis_Freising,Freising,/wiki/Freising,180007,799.83,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Bavaria_FS.svg/60px-Bavaria_FS.svg.png
08237,Freudenstadt,/wiki/Landkreis_Freudenstadt,Freudenstadt,/wiki/Freudenstadt,118243,870.67,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Baden-W%C3%BCrttemberg_FDS.svg/55px-Baden-W%C3%BCrttemberg_FDS.svg.png
09272,Freyung-Grafenau,/wiki/Landkreis_Freyung-Grafenau,Freyung,/wiki/Freyung,78362,984.15,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Bavaria_FRG.svg/60px-Bavaria_FRG.svg.png
03455,Friesland,/wiki/Landkreis_Friesland,Jever,/wiki/Jever,98704,607.91,//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Lower_Saxony_FRI.svg/71px-Lower_Saxony_FRI.svg.png
06631,Fulda,/wiki/Landkreis_Fulda,Fulda,/wiki/Fulda,223145,1380.4,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Hesse_FD.svg/45px-Hesse_FD.svg.png
09179,Fürstenfeldbruck,/wiki/Landkreis_F%C3%BCrstenfeldbruck,Fürstenfeldbruck,/wiki/F%C3%BCrstenfeldbruck,219311,434.79,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Bavaria_FFB.svg/60px-Bavaria_FFB.svg.png
09573,Fürth,/wiki/Landkreis_F%C3%BCrth,Zirndorf,/wiki/Zirndorf,117853,307.55,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Bavaria_F%C3%9C_%28district%29.svg/60px-Bavaria_F%C3%9C_%28district%29.svg.png
09180,Garmisch-Partenkirchen,/wiki/Landkreis_Garmisch-Partenkirchen,Garmisch-Partenkirchen,/wiki/Garmisch-Partenkirchen,88424,1012.22,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Bavaria_GAP.svg/60px-Bavaria_GAP.svg.png
07334,Germersheim,/wiki/Landkreis_Germersheim,Germersheim,/wiki/Germersheim,129013,463.35,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rhineland-Palatinate_GER.svg/56px-Rhineland-Palatinate_GER.svg.png
06531,Gießen,/wiki/Landkreis_Gie%C3%9Fen,Gießen,/wiki/Gie%C3%9Fen,270688,854.67,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hesse_GI.svg/45px-Hesse_GI.svg.png
